alloc!
Epoch 246, train_loss=161.5, val_loss=1789
Epoch 247, train_loss=161.4, val_loss=1789
Epoch 248, train_loss=161.3, val_loss=1789
Epoch 249, train_loss=161.5, val_loss=1790
Epoch 250, train_loss=161.3, val_loss=1789
Epoch 251, train_loss=161.2, val_loss=1789
Epoch 252, train_loss=161.2, val_loss=1790
Epoch 253, train_loss=161.1, val_loss=1790
Epoch 254, train_loss=161.2, val_loss=1790
Epoch 255, train_loss=161.1, val_loss=1790
Epoch 256, train_loss=161.2, val_loss=1790
Epoch 257, train_loss=161, val_loss=1790
Epoch 258, train_loss=161, val_loss=1789
Epoch 259, train_loss=161, val_loss=1790
Epoch 260, train_loss=160.9, val_loss=1789
Epoch 261, train_loss=161, val_loss=1790
Epoch 262, train_loss=160.8, val_loss=1790
Epoch 263, train_loss=160.9, val_loss=1791
Epoch 264, train_loss=160.8, val_loss=1791
Epoch 265, train_loss=160.8, val_loss=1790
Epoch 266, train_loss=160.7, val_loss=1790
Epoch 267, train_loss=160.7, val_loss=1790
Epoch 268, train_loss=160.6, val_loss=1790
Epoch 269, train_loss=160.6, val_loss=1790
Epoch 270, train_loss=160.6, val_loss=1789
Epoch 271, train_loss=160.6, val_loss=1789
Epoch 272, train_loss=160.6, val_loss=1790
Epoch 273, train_loss=160.5, val_loss=1791
Epoch 274, train_loss=160.5, val_loss=1790
Epoch 275, train_loss=160.4, val_loss=1791
Epoch 276, train_loss=160.4, val_loss=1791
Epoch 277, train_loss=160.3, val_loss=1791
Epoch 278, train_loss=160.3, val_loss=1792
Epoch 279, train_loss=160.3, val_loss=1791
Epoch 280, train_loss=160.2, val_loss=1791
Epoch 281, train_loss=160.2, val_loss=1790
Epoch 282, train_loss=160.2, val_loss=1790
Epoch 283, train_loss=160.2, val_loss=1789
Epoch 284, train_loss=160.1, val_loss=1790
Epoch 285, train_loss=160.1, val_loss=1791
Epoch 286, train_loss=160, val_loss=1791
Epoch 287, train_loss=160.1, val_loss=1791
Epoch 288, train_loss=160, val_loss=1791
Epoch 289, train_loss=160, val_loss=1791
Epoch 290, train_loss=159.9, val_loss=1791
Epoch 291, train_loss=159.9, val_loss=1791
Epoch 292, train_loss=159.9, val_loss=1790
Epoch 293, train_loss=159.8, val_loss=1790
Epoch 294, train_loss=159.8, val_loss=1790
Epoch 295, train_loss=159.8, val_loss=1791
Epoch 296, train_loss=159.7, val_loss=1791
Epoch 297, train_loss=159.7, val_loss=1791
Epoch 298, train_loss=159.7, val_loss=1791
Epoch 299, train_loss=159.6, val_loss=1791
Epoch 300, train_loss=159.6, val_loss=1790
Epoch 301, train_loss=159.6, val_loss=1791
Epoch 302, train_loss=159.5, val_loss=1790
Epoch 303, train_loss=159.5, val_loss=1790
Epoch 304, train_loss=159.5, val_loss=1790
Epoch 305, train_loss=159.5, val_loss=1791
Epoch 306, train_loss=159.4, val_loss=1790
Epoch 307, train_loss=159.4, val_loss=1790
Epoch 308, train_loss=159.5, val_loss=1789
Epoch 309, train_loss=159.3, val_loss=1790
Epoch 310, train_loss=159.5, val_loss=1792
Epoch 311, train_loss=159.3, val_loss=1791
Epoch 312, train_loss=159.3, val_loss=1791
Epoch 313, train_loss=159.2, val_loss=1790
Epoch 314, train_loss=159.2, val_loss=1789
Epoch 315, train_loss=159.1, val_loss=1789
Epoch 316, train_loss=159.1, val_loss=1789
Epoch 317, train_loss=159.1, val_loss=1789
Epoch 318, train_loss=159, val_loss=1790
Epoch 319, train_loss=159, val_loss=1790
Epoch 320, train_loss=159, val_loss=1790
Epoch 321, train_loss=158.9, val_loss=1790
Epoch 322, train_loss=158.9, val_loss=1789
Epoch 323, train_loss=159, val_loss=1789
Epoch 324, train_loss=159.1, val_loss=1790
Epoch 325, train_loss=158.8, val_loss=1790
Epoch 326, train_loss=158.8, val_loss=1789
Epoch 327, train_loss=158.9, val_loss=1788
Epoch 328, train_loss=158.7, val_loss=1789
Epoch 329, train_loss=158.6, val_loss=1788
Epoch 330, train_loss=158.6, val_loss=1788
Epoch 331, train_loss=158.6, val_loss=1788
Epoch 332, train_loss=158.6, val_loss=1789
Epoch 333, train_loss=158.5, val_loss=1789
Epoch 334, train_loss=158.5, val_loss=1789
Epoch 335, train_loss=158.5, val_loss=1789
Epoch 336, train_loss=158.4, val_loss=1787
Epoch 337, train_loss=158.4, val_loss=1786
Epoch 338, train_loss=158.3, val_loss=1787
Epoch 339, train_loss=158.3, val_loss=1788
Epoch 340, train_loss=158.2, val_loss=1788
Epoch 341, train_loss=158.3, val_loss=1788
Epoch 342, train_loss=158.3, val_loss=1786
Epoch 343, train_loss=158.1, val_loss=1786
Epoch 344, train_loss=158.1, val_loss=1787
Epoch 345, train_loss=158, val_loss=1786
Epoch 346, train_loss=158, val_loss=1785
Epoch 347, train_loss=158, val_loss=1784
Epoch 348, train_loss=158, val_loss=1785
Epoch 349, train_loss=157.9, val_loss=1785
Epoch 350, train_loss=157.8, val_loss=1785
Epoch 351, train_loss=157.7, val_loss=1784
Epoch 352, train_loss=157.7, val_loss=1782
Epoch 353, train_loss=157.6, val_loss=1783
Epoch 354, train_loss=157.6, val_loss=1781
Epoch 355, train_loss=157.5, val_loss=1782
Epoch 356, train_loss=157.4, val_loss=1781
Epoch 357, train_loss=157.3, val_loss=1781
Epoch 358, train_loss=157.2, val_loss=1780
Epoch 359, train_loss=157.2, val_loss=1779
Epoch 360, train_loss=157.1, val_loss=1777
Epoch 361, train_loss=157, val_loss=1776
Epoch 362, train_loss=156.8, val_loss=1775
Epoch 363, train_loss=156.7, val_loss=1774
Epoch 364, train_loss=156.7, val_loss=1773
Epoch 365, train_loss=156.4, val_loss=1772
Epoch 366, train_loss=156.2, val_loss=1768
Epoch 367, train_loss=156, val_loss=1765
Epoch 368, train_loss=155.7, val_loss=1762
Epoch 369, train_loss=155.5, val_loss=1761
Epoch 370, train_loss=155.2, val_loss=1756
Epoch 371, train_loss=154.7, val_loss=1753
Epoch 372, train_loss=154.2, val_loss=1746
Epoch 373, train_loss=153.6, val_loss=1740
Epoch 374, train_loss=153, val_loss=1732
Epoch 375, train_loss=152.3, val_loss=1724
Epoch 376, train_loss=151.2, val_loss=1715
Epoch 377, train_loss=150.3, val_loss=1707
Epoch 378, train_loss=149.5, val_loss=1695
Epoch 379, train_loss=148, val_loss=1685
Epoch 380, train_loss=146.8, val_loss=1672
Epoch 381, train_loss=145.6, val_loss=1658
Epoch 382, train_loss=144, val_loss=1642
Epoch 383, train_loss=142.7, val_loss=1627
Epoch 384, train_loss=140.9, val_loss=1610
Epoch 385, train_loss=139.5, val_loss=1591
Epoch 386, train_loss=137.4, val_loss=1573
Epoch 387, train_loss=135.9, val_loss=1552
Epoch 388, train_loss=133.8, val_loss=1533
Epoch 389, train_loss=132, val_loss=1512
Epoch 390, train_loss=130.2, val_loss=1493
Epoch 391, train_loss=128.6, val_loss=1474
Epoch 392, train_loss=127.1, val_loss=1454
Epoch 393, train_loss=125.6, val_loss=1436
